34 2
1 -1.565000712871551514e-01 -1.112854123115539551e+00
11 -1.192199826240539551e+00 -1.506576836109161377e-01
12 1.167439669370651245e-01 -1.196815371513366699e+00
13 -5.240960717201232910e-01 -5.572776794433593750e-01
14 -1.051732301712036133e+00 -3.047227561473846436e-01
18 1.194926053285598755e-01 -2.473211288452148438e+00
20 -1.391240119934082031e+00 -3.596841990947723389e-01
22 -1.395201444625854492e+00 -6.673393845558166504e-01
2 2.506063282489776611e-01 -4.297944068908691406e+00
32 -3.815577328205108643e-01 -1.452436923980712891e+00
3 -4.805819988250732422e+00 -1.552619040012359619e-01
4 -4.889858722686767578e+00 -2.804262638092041016e-01
5 3.443329930305480957e-01 -3.463624477386474609e+00
6 3.375985324382781982e-01 -3.691470146179199219e+00
7 -2.268705368041992188e+00 -6.040439009666442871e-01
8 -5.610022544860839844e-01 -9.959947466850280762e-01
9 -5.058554649353027344e+00 -2.299259305000305176e-01
31 -5.191167831420898438e+00 -2.015242278575897217e-01
10 -2.654395103454589844e-01 -2.094493150711059570e+00
28 3.921108543872833252e-01 -2.765617609024047852e+00
29 2.706036567687988281e-01 -3.307310819625854492e+00
33 -1.343353748321533203e+00 -8.275321722030639648e-01
17 -5.067345619201660156e+00 -7.753859758377075195e-01
34 2.886678278446197510e-01 -4.668943405151367188e+00
15 2.641699314117431641e-01 -7.028072834014892578e+00
16 -5.240973472595214844e+00 -2.275569736957550049e-01
19 1.976169347763061523e-01 -6.796227931976318359e+00
21 -5.039844989776611328e+00 -7.251702547073364258e-01
23 2.495355010032653809e-01 -6.791715621948242188e+00
24 -3.067468404769897461e+00 -4.874110519886016846e-01
26 1.150740087032318115e-01 -6.742632389068603516e+00
30 2.991071045398712158e-01 -6.898306846618652344e+00
25 -4.435839056968688965e-01 -2.483325481414794922e+00
27 -5.716209411621093750e+00 -9.435150027275085449e-01
